,events,hit_distance_sc,launch_angle,launch_speed,estimated_ba_using_speedangle
2855,single,167,9,100.9,0.726
3506,single,206,9,102.2,0.737
4179,single,15,-8,99.7,0.28
3542,field_out,215,58,87.5,0.023
3813,field_out,1,-77,28.5,0.186
4356,field_out,348,33,96.4,0.134
3654,grounded_into_double_play,38,-2,106.4,0.44
4232,single,55,1,94.4,0.386
3185,single,247,12,105.9,0.874
3985,field_out,344,42,94.8,0.014
2845,field_out,2,-38,65.6,0.106
3261,home_run,435,25,104.9,0.889
3527,field_out,4,58,8.6,0.08
3885,field_out,332,41,90.7,0.009
2722,field_out,3,-31,85.8,0.054
2775,field_out,162,9,95.7,0.643
3242,home_run,431,29,102.2,0.631
2566,field_out,31,-3,74.5,0.097
2870,field_out,9,-13,94.6,0.183
3881,field_out,5,-19,87.0,0.094
4104,field_out,24,-5,88.1,0.157
4236,field_out,336,27,88.8,0.111
3393,force_out,9,-15,88.9,0.12
3517,single,2,-57,66.4,0.26
4211,single,89,4,96.0,0.494
214,single,112,5,103.3,0.557
258,single,180,58,72.5,0.046
297,field_out,292,33,78.2,0.111
2405,field_out,329,20,99.2,0.323
2627,field_out,401,21,101.8,0.529
3265,single,220,15,81.9,0.86
3875,single,276,16,96.8,0.663
600,field_out,17,-6,79.1,0.109
798,field_out,102,71,76.6,0.003
4076,field_out,9,-12,87.6,0.149
2684,field_out,227,55,80.5,0.04
3114,field_out,13,-7,69.3,0.083
3320,home_run,429,38,101.8,0.323
3731,single,213,18,87.1,0.834
858,field_out,4,-12,88.4,0.149
981,double,321,19,94.8,0.349
1039,field_out,2,-43,80.3,0.097
1131,single,127,8,91.6,0.571
1257,field_out,58,1,102.8,0.474
3877,grounded_into_double_play,8,-12,89.6,0.146
557,single,183,16,77.6,0.803
685,single,170,8,103.8,0.683
902,field_out,252,48,78.0,0.071
1405,field_out,23,-6,93.0,0.217
1689,field_out,300,49,96.4,0.003
1008,field_out,67,11,50.2,0.137
1032,field_out,291,22,86.8,0.343
1189,field_out,308,29,82.4,0.109
1973,double,308,17,100.0,0.451
2533,field_out,24,-6,86.2,0.12
1467,double,399,22,105.1,0.789
1567,sac_fly,268,44,76.4,0.12
1774,single,65,2,105.3,0.503
2849,grounded_into_double_play,87,4,103.5,0.543
3038,single,183,13,82.8,0.726
2919,field_out,298,47,92.6,0.0
3286,field_out,24,-3,98.2,0.32
3739,home_run,446,24,107.2,0.917
3810,field_out,349,35,90.5,0.037
4051,field_out,49,78,80.0,0.014
2275,field_out,327,41,91.6,0.009
2964,single,216,11,101.9,0.903
3080,field_out,62,2,94.5,0.434
2598,field_out,367,26,93.3,0.149
3965,field_out,349,27,90.3,0.1
3555,field_out,299,48,92.9,0.0
3868,field_out,250,53,86.8,0.017
4115,field_out,4,-30,88.4,0.057
2903,field_out,364,29,94.4,0.146
3207,field_out,57,1,107.7,0.514
3826,single,62,3,87.0,0.346
4216,field_out,305,22,91.4,0.237
290,field_out,26,-3,76.6,0.114
598,field_out,3,-35,97.5,0.111
201,field_out,318,44,93.1,0.003
291,field_out,286,37,79.4,0.04
336,double,381,20,105.6,0.694
433,field_out,6,-15,65.8,0.043
795,force_out,12,-8,73.3,0.074
1015,field_out,3,-43,78.2,0.106
1055,home_run,395,22,105.9,0.837
509,field_out,209,60,89.5,0.011
588,field_out,9,-11,77.9,0.086
717,field_out,2,-43,73.1,0.111
787,home_run,393,36,96.8,0.146
1291,double,255,21,84.5,0.549
1536,field_out,50,0,103.8,0.457
1625,field_out,170,63,84.2,0.006
912,field_out,83,4,104.8,0.58
1077,field_out,381,25,99.7,0.517
1206,field_out,4,-17,90.2,0.114
1721,grounded_into_double_play,7,-19,100.8,0.174
1867,single,108,16,56.7,0.269
1992,field_out,286,49,92.6,0.003
1499,field_out,8,-9,84.7,0.12
1610,field_out,290,23,85.2,0.297
2079,field_out,15,-6,86.8,0.117
2113,field_out,24,-4,88.8,0.191
2486,field_out,4,-19,70.0,0.054
2208,field_out,82,74,63.4,0.006
2589,field_out,2,-36,62.2,0.08
2634,single,218,22,70.1,0.926
2563,single,260,17,85.1,0.934
3213,double,203,16,87.8,0.926
3277,single,62,1,109.7,0.534
3664,field_out,19,-5,93.1,0.217
2867,field_out,159,63,73.9,0.006
3152,field_out,129,11,72.2,0.294
3347,double,280,18,90.8,0.603
3509,field_out,3,-42,81.7,0.094
4268,field_out,113,74,82.6,0.006
2321,field_out,350,38,97.9,0.143
2925,field_out,11,-14,96.1,0.186
1691,field_out,303,24,93.3,0.174
2096,single,161,9,105.5,0.78
